day,scene,doy,month,hour,sun_elevation,scene_cloud,s2_ice,landsat_ice,landsat_share
2025-02-20,LC09_L1TP_012010_20250220_20250220_02_T1,51,2,15,8.30491087,0.26,0.013376845778538886,0.013935228514885439,0.9970686811914761
2025-02-22,LC09_L1TP_010011_20250222_20250222_02_T1,53,2,15,10.26120366,76.54,,,0.0
2025-02-27,LC09_L1TP_013010_20250227_20250227_02_T1,58,2,15,10.90176822,9.26,0.5861630224041362,0.5661818661521845,0.8639875196341372
2025-02-28,LC08_L1TP_012010_20250228_20250304_02_T1,59,2,15,11.27932324,89.0,,,0.0
2025-03-01,LC09_L1TP_011010_20250301_20250301_02_T1,60,3,15,11.65989049,20.35,0.07218523103690568,0.085669692098073,0.9881215695912181
2025-03-02,LC08_L1GT_010010_20250302_20250311_02_T2,61,3,15,12.04093608,99.91,,,0.0
2025-03-07,LC08_L1TP_013010_20250307_20250312_02_T1,66,3,15,13.98669109,6.23,1.0,1.0,0.06598494805190179
2026-02-14,LC09_L1TP_013010_20260214_20260214_02_T1,45,2,15,6.11021059,7.01,0.2789118292284474,0.27447627861742263,0.9082529268666232
2026-02-22,LC08_L1GT_013010_20260222_20260227_02_T2,53,2,15,8.94719056,90.79,,,0.0
2026-02-23,LC09_L1GT_012010_20260223_20260223_02_T2,54,2,15,9.31466527,100.0,,,0.0
2026-02-24,LC08_L1GT_011010_20260224_20260306_02_T2,55,2,15,9.68207562,100.0,0.0,,0.0
2026-02-25,LC09_L1TP_010010_20260225_20260225_02_T1,56,2,15,10.05432027,37.04,1.0,1.0,0.2605632548680194
2026-03-02,LC09_L1TP_013010_20260302_20260302_02_T2,61,3,15,11.95376967,77.82,1.0,,0.0
2026-03-04,LC09_L1TP_011010_20260304_20260304_02_T1,63,3,15,12.7210849,14.61,0.06024016794139667,0.05083800703136598,0.983722810504308
2026-03-05,LC08_L1TP_010010_20260305_20260313_02_T1,64,3,15,13.10609373,91.99,1.0,,0.0
