day,role,reported_ice,scene,instrument,asset,kelvin,celsius,cells
2013-03-22,in question,0.052,LC08_L1TP_011010_20130322_20200912_02_T1,OLI,lwir11,265.51558525663734,-7.63441474336264,280761
2013-03-30,in question,0.098,LC08_L1TP_013010_20130330_20200913_02_T1,OLI,lwir11,263.6783578399926,-9.471642160007377,280544
2013-03-30,in question,0.098,LE07_L1TP_013010_20130330_20200907_02_T1,ETM+,lwir,264.24164153322596,-8.908358466774018,210628
2013-04-04,in question,0.151,LC08_L1TP_012010_20130404_20200912_02_T1,OLI,lwir11,265.8142214378838,-7.335778562116161,280052
2013-04-09,in question,0.148,LC08_L1TP_012010_20130409_20200913_02_T1,OLI,lwir11,267.6973463648548,-5.452653635145168,280710
2013-04-23,"control, frozen",0.827,LC08_L1TP_013010_20130423_20200912_02_T1,OLI,lwir11,259.98934591700316,-13.160654082996814,280761
2013-05-29,"control, open",0.001,LC08_L1TP_082234_20130529_20200912_02_T2,OLI,lwir11,272.7124902816517,-0.4375097183482808,273546
2013-06-12,"control, open",0.001,LC08_L1TP_011010_20130612_20200912_02_T1,OLI,lwir11,278.302700176655,5.152700176655003,280761
