date,scene_id,acquired_utc,polarisation,relative_orbit,orbit_state,platform,valid_share,water_cells,land_cells,water_median_db,water_p5_db,water_p95_db,land_median_db,land_contrast_db,passes_gates,reject_reason,target_day,offset_days
2025-03-30,S1C_IW_GRDH_1SDH_20250330T100706_20250330T100735_001669_rtc,2025-03-30T10:07:20.871824Z,HH,98,descending,sentinel-1c,1.0,2528997,141891,-15.719,-19.518,-12.032,-12.448,3.27,1,,2025-03-27,3
2025-03-31,S1A_IW_GRDH_1SDH_20250331T100007_20250331T100036_058547_073EC2_rtc,2025-03-31T10:00:22.215105Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.144,-19.738,-12.713,-12.179,3.965,1,,2025-03-27,4
2025-03-27,S1C_IW_GRDH_1SDH_20250327T210300_20250327T210324_001632_rtc,2025-03-27T21:03:12.529735Z,HH,61,ascending,sentinel-1c,0.0216,46348,11272,-15.533,-19.049,-11.042,-11.662,3.871,0,valid share 0.022 below 0.98,2025-03-30,-3
2025-03-29,S1C_IW_GRDH_1SDH_20250329T204633_20250329T204658_001661_rtc,2025-03-29T20:46:45.533770Z,HH,90,ascending,sentinel-1c,0.5141,1281256,91897,-15.175,-19.192,-11.402,-11.422,3.753,0,valid share 0.514 below 0.98,2025-03-30,-1
2025-03-29,S1C_IW_GRDH_1SDH_20250329T204658_20250329T204723_001661_rtc,2025-03-29T20:47:10.534206Z,HH,90,ascending,sentinel-1c,0.4859,1247742,49996,-15.694,-19.457,-11.902,-12.831,2.862,0,valid share 0.486 below 0.98,2025-03-30,-1
2025-03-30,S1C_IW_GRDH_1SDH_20250330T100706_20250330T100735_001669_rtc,2025-03-30T10:07:20.871824Z,HH,98,descending,sentinel-1c,1.0,2528997,141891,-15.719,-19.518,-12.032,-12.448,3.27,1,,2025-03-30,0
2025-03-31,S1A_IW_GRDH_1SDH_20250331T100007_20250331T100036_058547_073EC2_rtc,2025-03-31T10:00:22.215105Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.144,-19.738,-12.713,-12.179,3.965,1,,2025-03-30,1
2025-04-02,S1A_IW_GRDH_1SDH_20250402T210431_20250402T210456_058583_074038_rtc,2025-04-02T21:04:43.532595Z,HH,61,ascending,SENTINEL-1A,0.0115,20049,10673,-16.092,-19.685,-11.69,-11.008,5.084,0,valid share 0.012 below 0.98,2025-03-30,3
2025-03-27,S1C_IW_GRDH_1SDH_20250327T210300_20250327T210324_001632_rtc,2025-03-27T21:03:12.529735Z,HH,61,ascending,sentinel-1c,0.0216,46348,11272,-15.533,-19.049,-11.042,-11.662,3.871,0,valid share 0.022 below 0.98,2025-03-31,-4
2025-03-29,S1C_IW_GRDH_1SDH_20250329T204633_20250329T204658_001661_rtc,2025-03-29T20:46:45.533770Z,HH,90,ascending,sentinel-1c,0.5141,1281256,91897,-15.175,-19.192,-11.402,-11.422,3.753,0,valid share 0.514 below 0.98,2025-03-31,-2
2025-03-29,S1C_IW_GRDH_1SDH_20250329T204658_20250329T204723_001661_rtc,2025-03-29T20:47:10.534206Z,HH,90,ascending,sentinel-1c,0.4859,1247742,49996,-15.694,-19.457,-11.902,-12.831,2.862,0,valid share 0.486 below 0.98,2025-03-31,-2
2025-03-30,S1C_IW_GRDH_1SDH_20250330T100706_20250330T100735_001669_rtc,2025-03-30T10:07:20.871824Z,HH,98,descending,sentinel-1c,1.0,2528997,141891,-15.719,-19.518,-12.032,-12.448,3.27,1,,2025-03-31,-1
2025-03-31,S1A_IW_GRDH_1SDH_20250331T100007_20250331T100036_058547_073EC2_rtc,2025-03-31T10:00:22.215105Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.144,-19.738,-12.713,-12.179,3.965,1,,2025-03-31,0
2025-04-02,S1A_IW_GRDH_1SDH_20250402T210431_20250402T210456_058583_074038_rtc,2025-04-02T21:04:43.532595Z,HH,61,ascending,SENTINEL-1A,0.0115,20049,10673,-16.092,-19.685,-11.69,-11.008,5.084,0,valid share 0.012 below 0.98,2025-03-31,2
2025-04-04,S1C_IW_GRDH_1SDH_20250404T101512_20250404T101542_001742_rtc,2025-04-04T10:15:27.484800Z,HH,171,descending,sentinel-1c,1.0,2528997,141891,-17.339,-21.061,-13.506,-11.732,5.607,1,,2025-03-31,4
2025-04-04,S1A_IW_GRDH_1SDH_20250404T204811_20250404T204836_058612_rtc,2025-04-04T20:48:24.345982Z,HH,90,ascending,sentinel-1a,1.0,2528997,141891,-16.738,-20.31,-12.946,-10.495,6.242,1,,2025-03-31,4
2025-04-14,S1A_IW_GRDH_1SDH_20250414T210430_20250414T210455_058758_rtc,2025-04-14T21:04:43.118021Z,HH,61,ascending,sentinel-1a,0.0182,37621,11089,-14.681,-17.905,-11.667,-10.876,3.805,0,valid share 0.018 below 0.98,2025-04-17,-3
2025-04-16,S1C_IW_GRDH_1SDH_20250416T101512_20250416T101542_001917_rtc,2025-04-16T10:15:27.606542Z,HH,171,descending,sentinel-1c,1.0,2528997,141891,-16.636,-21.952,-12.769,-11.255,5.381,1,,2025-04-17,-1
2025-04-16,S1A_IW_GRDH_1SDH_20250416T204811_20250416T204836_058787_rtc,2025-04-16T20:48:24.123895Z,HH,90,ascending,sentinel-1a,1.0,2528997,141891,-15.811,-20.387,-12.163,-9.987,5.824,1,,2025-04-17,-1
2025-04-18,S1C_IW_GRDH_1SDH_20250418T095858_20250418T095923_001946_rtc,2025-04-18T09:59:10.826066Z,HH,25,descending,sentinel-1c,1.0,2528997,141891,-18.264,-24.26,-14.163,-12.4,5.864,1,,2025-04-17,1
2025-04-20,S1C_IW_GRDH_1SDH_20250420T210301_20250420T210326_001982_rtc,2025-04-20T21:03:13.806087Z,HH,61,ascending,sentinel-1c,0.0165,33031,10976,-14.913,-18.094,-11.921,-11.264,3.649,0,valid share 0.016 below 0.98,2025-04-17,3
2025-04-14,S1A_IW_GRDH_1SDH_20250414T210430_20250414T210455_058758_rtc,2025-04-14T21:04:43.118021Z,HH,61,ascending,sentinel-1a,0.0182,37621,11089,-14.681,-17.905,-11.667,-10.876,3.805,0,valid share 0.018 below 0.98,2025-04-18,-4
2025-04-16,S1C_IW_GRDH_1SDH_20250416T101512_20250416T101542_001917_rtc,2025-04-16T10:15:27.606542Z,HH,171,descending,sentinel-1c,1.0,2528997,141891,-16.636,-21.952,-12.769,-11.255,5.381,1,,2025-04-18,-2
2025-04-16,S1A_IW_GRDH_1SDH_20250416T204811_20250416T204836_058787_rtc,2025-04-16T20:48:24.123895Z,HH,90,ascending,sentinel-1a,1.0,2528997,141891,-15.811,-20.387,-12.163,-9.987,5.824,1,,2025-04-18,-2
2025-04-18,S1C_IW_GRDH_1SDH_20250418T095858_20250418T095923_001946_rtc,2025-04-18T09:59:10.826066Z,HH,25,descending,sentinel-1c,1.0,2528997,141891,-18.264,-24.26,-14.163,-12.4,5.864,1,,2025-04-18,0
2025-04-20,S1C_IW_GRDH_1SDH_20250420T210301_20250420T210326_001982_rtc,2025-04-20T21:03:13.806087Z,HH,61,ascending,sentinel-1c,0.0165,33031,10976,-14.913,-18.094,-11.921,-11.264,3.649,0,valid share 0.016 below 0.98,2025-04-18,2
2025-04-22,S1C_IW_GRDH_1SDH_20250422T204656_20250422T204721_002011_rtc,2025-04-22T20:47:08.880565Z,HH,90,ascending,sentinel-1c,1.0,2528997,141891,-16.358,-21.611,-12.678,-10.821,5.536,1,,2025-04-18,4
