surface,green,nir,swir16,ndsi,ndwi,ndsi_spread,source,cells,ndsi_p5
"open water, July 2019",0.0744500011205673,0.0241125002503395,0.0053250002674758,0.8664995255450054,0.510716552137811,0.013881396404241512,endmember,,
"fast ice, April 2018",0.7350124716758728,0.7570374608039856,0.0506500005722045,0.8710642232222809,-0.014761563033957053,0.005161624902190824,endmember,,
"fast ice, March 2023",0.4393125176429748,0.4401562809944153,0.0307250004261732,0.8692657532854507,-0.0009594011211628823,0.04364633537271455,endmember,,
"ice cells, April 2023",0.3472593426704407,0.2537999749183655,0.0189999993890523,0.8962483835513141,0.15549108884459914,0.06666111982717937,endmember,,
"contested cells, April 2023",0.1743437647819519,0.0992999970912933,0.0067999977618455,0.924921535620622,0.2742389125808748,0.04122597543307987,endmember,,
chain called water,,,,0.9599609375,0.409912109375,,2017-02-19,15601.0,0.94189453125
chain called ice_solid,,,,0.83935546875,-0.09539794921875,,2017-02-19,142044.0,0.80029296875
