doy_from,doy_to,scenes,median_sun_elevation,median_water,worst_water
45,60,43,9.779703084736596,0.21580392419473649,0.9871903108476104
60,75,63,14.944190734373096,0.03760279787624973,0.9967556197301104
75,90,80,20.2129838837297,0.006277970820681638,0.9400064059405293
90,105,72,26.293615388764053,0.002573842642228245,0.47929174722702755
