day,season,doy,scene,sun_elevation,scene_cloud,landsat_ice,landsat_share,kelvin,thermal_cells,frozen_share,celsius,thermal_minus_optical,below_freezing,chain_says_open,contradicted
2013-03-22,2013,81,LC08_L1TP_011010_20130322_20200912_02_T1,19.89537121,0.02,0.0523696826263729,0.9977988395824208,265.51558525663734,280761,1.0,-7.63441474336264,0.9476303173736271,True,True,True
2013-03-30,2013,89,LC08_L1TP_013010_20130330_20200913_02_T1,23.04425377,0.81,0.0979316604606951,0.996712506366625,263.6783578399926,280544,1.0,-9.471642160007377,0.9020683395393049,True,True,True
2013-04-04,2013,94,LC08_L1TP_012010_20130404_20200912_02_T1,24.97195933,23.92,0.1513077733168955,0.9909531594487838,265.8142214378838,280052,0.999871452444546,-7.335778562116161,0.8485636791276505,True,True,True
2013-04-09,2013,99,LC08_L1TP_012010_20130409_20200913_02_T1,26.8569425,0.15,0.1478277571610808,0.9828145647009378,267.6973463648548,280710,0.9997506323251755,-5.452653635145168,0.8519228751640947,True,True,True
2013-04-23,2013,113,LC08_L1TP_013010_20130423_20200912_02_T1,31.79947782,3.25,0.8265636252243731,0.994123115389958,259.98934591700316,280761,1.0,-13.160654082996814,0.1734363747756269,True,False,False
2013-05-29,2013,149,LC08_L1TP_082234_20130529_20200912_02_T2,8.84534621,4.14,0.0007392416551693,0.9732583941501848,272.7124902816517,273546,0.0006653359946773121,-0.4375097183482808,-7.39056604919879e-05,False,True,False
2013-06-12,2013,163,LC08_L1TP_011010_20130612_20200912_02_T1,42.25153298,0.04,0.0008126719799255,0.9992698416090554,278.302700176655,280761,0.0,5.152700176655003,-0.0008126719799255,False,True,False
2014-03-02,2014,61,LC08_L1TP_012010_20140302_20200911_02_T1,11.92377551,1.93,0.3430052010897521,0.9347630190802854,264.5968691751896,280761,1.0,-8.553130824810353,0.6569947989102479,True,True,True
2014-03-11,2014,70,LC08_L1TP_011010_20140311_20200911_02_T1,15.43071494,8.89,0.4243749623924424,0.9470831062718824,266.0824513977185,279439,1.0,-7.067548602281477,0.5756250376075576,True,True,True
2014-03-18,2014,77,LC08_L1TP_012010_20140318_20200911_02_T1,18.20512751,1.83,0.4506313773439951,0.9874982636477287,262.84150038160203,280761,1.0,-10.308499618397946,0.5493686226560048,True,True,True
2014-03-25,2014,84,LC08_L1TP_013010_20140325_20200911_02_T1,20.98004925,5.05,0.8904387650432697,0.9861341140685494,258.8269120379949,280693,1.0,-14.323087962005104,0.10956123495673031,True,False,False
2014-03-27,2014,86,LC08_L1TP_011010_20140327_20200911_02_T1,21.76425594,6.47,0.8209204114780726,0.9867823522497784,260.059484497503,280761,1.0,-13.090515502496999,0.1790795885219274,True,False,False
2014-04-03,2014,93,LC08_L1TP_012010_20140403_20200911_02_T1,24.48700406,0.2,0.996741000352613,1.0,256.21615906084077,280761,1.0,-16.93384093915921,0.003258999647386962,True,False,False
2014-04-10,2014,100,LC08_L1TP_013010_20140410_20200911_02_T1,27.12956713,32.92,0.999996278003372,0.9569455871720076,260.893082769481,268673,1.0,-12.25691723051898,3.7219966280144234e-06,True,False,False
2014-04-12,2014,102,LC08_L1TP_011010_20140412_20200911_02_T1,27.86168167,10.97,0.9999205058717254,0.9857138277752252,264.6898437512908,279818,1.0,-8.460156248709154,7.949412827457092e-05,True,False,False
2014-04-19,2014,109,LC08_L1TP_012010_20140419_20200911_02_T1,30.35312011,2.05,0.9994158628844976,0.9999821912587574,260.8653146298395,280761,1.0,-12.284685370160503,0.0005841371155024255,True,False,False
2014-04-28,2014,118,LC08_L1TP_011010_20140428_20200911_02_T1,33.32389782,7.74,1.0,0.9645321109413344,260.36389779677563,278292,1.0,-12.786102203224345,0.0,True,False,False
