match_days,flagged,flagged_early,flagged_late,with_radar_verdict,published,radar_corrected,all_frozen,p_perm_published,p_perm_corrected,doy_median
0,23,1,22,21,22.565841235780326,20.88029036339932,15.269351271833786,0.11904761904761904,0.11428571428571428,71.0
1,38,1,37,32,22.565841235780326,19.36923757171246,11.084329023491456,0.11904761904761904,0.11904761904761904,118.0
2,45,2,43,37,22.565841235780326,19.460061750980962,9.545606080363312,0.11904761904761904,0.11428571428571428,117.0
3,52,2,50,43,22.565841235780326,17.921850854532174,6.377577836441906,0.11904761904761904,0.11904761904761904,119.5
