filepath,frac_water,frac_thin_sea_ice,frac_sea_ice
../data/satellite/aqua/2025/20250130_AQUA.jpg,0.9971759760943093,0.002265786622007684,0.0005582372836830526
../data/satellite/aqua/2025/20250131_AQUA.jpg,0.9971759760943093,0.002265786622007684,0.0005582372836830526
../data/satellite/aqua/2025/20250217_AQUA.jpg,0.28079335369257546,0.3108068170623584,0.4083998292450662
../data/satellite/aqua/2025/20250216_AQUA.jpg,0.3647916461432371,0.0441664203855121,0.5910419334712508
../data/satellite/aqua/2025/20250228_AQUA.jpg,0.07000952287130989,0.28194266574721705,0.648047811381473
../data/satellite/aqua/2025/20250315_AQUA.jpg,0.20211473418054052,0.4878008734771615,0.31008439234229795
../data/satellite/aqua/2025/20250314_AQUA.jpg,0.26434177256756314,0.44793616392473645,0.2877220635077004
../data/satellite/aqua/2025/20250223_AQUA.jpg,0.020818966932650312,0.21827077792007354,0.7609102551472762
../data/satellite/aqua/2025/20250222_AQUA.jpg,0.15466456506748102,0.36610514563425606,0.4792302892982629
../data/satellite/aqua/2025/20250104_AQUA.jpg,0.9971759760943093,0.002265786622007684,0.0005582372836830526
../data/satellite/aqua/2025/20250105_AQUA.jpg,0.9971759760943093,0.002265786622007684,0.0005582372836830526
../data/satellite/aqua/2025/20250308_AQUA.jpg,0.07375299642071388,0.25120677765737365,0.6750402259219125
../data/satellite/aqua/2025/20250309_AQUA.jpg,0.03424949922831905,0.25521295110498143,0.7105375496666995
../data/satellite/aqua/2025/20250201_AQUA.jpg,0.9971759760943093,0.002265786622007684,0.0005582372836830526
../data/satellite/aqua/2025/20250127_AQUA.jpg,0.9971759760943093,0.002265786622007684,0.0005582372836830526
../data/satellite/aqua/2025/20250126_AQUA.jpg,0.9971759760943093,0.002265786622007684,0.0005582372836830526
../data/satellite/aqua/2025/20250404_AQUA.jpg,0.04593964469838768,0.32492693659081207,0.6291334187108002
../data/satellite/aqua/2025/20250405_AQUA.jpg,0.010475158440876105,0.23833448264538798,0.7511903589137359
../data/satellite/aqua/2025/20250119_AQUA.jpg,0.9971759760943093,0.002265786622007684,0.0005582372836830526
