import time: self [us] | cumulative | imported package
import time:       650 |      18592 |             numpy.__config__
import time:       213 |        213 |                 numpy.lib._array_utils_impl
import time:       267 |        480 |               numpy.lib.array_utils
import time:       200 |        200 |               numpy.lib.introspect
import time:       231 |        231 |               numpy.lib.mixins
import time:       277 |        277 |                     numpy.lib._utils_impl
import time:       312 |        589 |                   numpy.lib.format
import time:       285 |        285 |                   numpy.lib._datasource
import time:       302 |        302 |                   numpy.lib._iotools
import time:       484 |       1659 |                 numpy.lib._npyio_impl
import time:       214 |       1873 |               numpy.lib.npyio
import time:       180 |        180 |                     numpy.lib._ufunclike_impl
import time:       312 |        491 |                   numpy.lib._type_check_impl
import time:       333 |        824 |                 numpy.lib._scimath_impl
import time:       227 |       1051 |               numpy.lib.scimath
import time:       260 |        260 |                 numpy.lib._stride_tricks_impl
import time:       184 |        444 |               numpy.lib.stride_tricks
import time:       160 |        160 |                       numpy.linalg.linalg
import time:       307 |        307 |                         numpy.lib._twodim_base_impl
import time:       972 |        972 |                         numpy.linalg._umath_linalg
import time:       253 |        253 |                           __future__
import time:       320 |        320 |                           numpy._typing._nested_sequence
import time:       226 |        226 |                           numpy._typing._nbit
import time:       805 |        805 |                           numpy._typing._char_codes
import time:       236 |        236 |                           numpy._typing._scalars
import time:       215 |        215 |                           numpy._typing._shape
import time:      1810 |       1810 |                           numpy._typing._dtype_like
import time:       973 |        973 |                           numpy._typing._array_like
import time:       375 |       5209 |                         numpy._typing
import time:       768 |       7255 |                       numpy.linalg._linalg
import time:       215 |       7628 |                     numpy.linalg
import time:       309 |       7936 |                   numpy.matrixlib.defmatrix
import time:       199 |       8135 |                 numpy.matrixlib
import time:       288 |        288 |                   numpy.lib._histograms_impl
import time:      1048 |       1335 |                 numpy.lib._function_base_impl
import time:       353 |       9821 |               numpy.lib._index_tricks_impl
import time:       448 |        448 |               numpy.lib._nanfunctions_impl
import time:       292 |        292 |               numpy.lib._shape_base_impl
import time:       366 |        366 |               numpy.lib._arraysetops_impl
import time:       457 |        457 |               numpy.lib._polynomial_impl
import time:       227 |        227 |               numpy.lib._arrayterator_impl
import time:       218 |        218 |               numpy.lib._arraypad_impl
import time:       207 |        207 |               numpy.lib._version
import time:       382 |      16690 |             numpy.lib
import time:       215 |        215 |             numpy._array_api_info
import time:      1247 |      38470 |           numpy
import time:    141943 |     180413 |         torch._C
import time:        43 |         43 |                 org
import time:        13 |         55 |               org.python
import time:         8 |         63 |             org.python.core
import time:       251 |        313 |           copy
import time:       189 |        189 |           torch._namedtensor_internals
import time:       812 |        812 |           torch.overrides
import time:       551 |       1864 |         torch._tensor
import time:       303 |        303 |           torch.types
import time:       499 |        802 |         torch.storage
import time:       296 |        296 |           torch.amp.autocast_mode
import time:       317 |        317 |           torch.amp.grad_scaler
import time:       207 |        820 |         torch.amp
import time:       202 |        202 |         torch.random
import time:       735 |        735 |               _heapq
import time:       227 |        962 |             heapq
import time:       403 |       1365 |           difflib
import time:        21 |         21 |             pwd
import time:       658 |        658 |             grp
import time:       676 |       1354 |           tarfile
import time:       678 |        678 |           torch._weights_only_unpickler
import time:       285 |        285 |           torch._sources
import time:       608 |        608 |           mmap
import time:       746 |       5034 |         torch.serialization
import time:       443 |        443 |           dataclasses
import time:       576 |       1019 |         torch._tensor_str
import time:       300 |        300 |           torch.cuda.gds
import time:       165 |        165 |           torch.cuda._utils
import time:       298 |        298 |           torch.cuda.graphs
import time:       245 |        245 |           torch.cuda.streams
import time:        40 |         40 |           pynvml
import time:      2374 |       2374 |                 binascii
import time:      4058 |       6431 |               base64
import time:      1420 |       7850 |             torch.cuda._memory_viz
import time:       587 |        587 |                     concurrent
import time:      1503 |       1503 |                     concurrent.futures._base
import time:       766 |       2855 |                   concurrent.futures
import time:      5936 |       5936 |                     _ssl
import time:      3454 |       9389 |                   ssl
import time:       503 |        503 |                   asyncio.constants
import time:       211 |        211 |                       asyncio.format_helpers
import time:       244 |        455 |                     asyncio.base_futures
import time:       195 |        195 |                     asyncio.log
import time:       516 |       1165 |                   asyncio.coroutines
import time:       508 |        508 |                       asyncio.exceptions
import time:       304 |        304 |                       asyncio.base_tasks
import time:      1595 |       2405 |                     _asyncio
import time:       728 |       3133 |                   asyncio.events
import time:       568 |        568 |                   asyncio.futures
import time:       332 |        332 |                   asyncio.protocols
import time:       399 |        399 |                     asyncio.transports
import time:       526 |        925 |                   asyncio.sslproto
import time:       159 |        159 |                       asyncio.mixins
import time:       408 |        408 |                       asyncio.tasks
import time:       410 |        977 |                     asyncio.locks
import time:       467 |       1443 |                   asyncio.staggered
import time:       311 |        311 |                   asyncio.trsock
import time:      1475 |      22095 |                 asyncio.base_events
import time:       167 |        167 |                 asyncio.runners
import time:       309 |        309 |                 asyncio.queues
import time:       382 |        382 |                 asyncio.streams
import time:       273 |        273 |                 asyncio.subprocess
import time:       168 |        168 |                 asyncio.threads
import time:       448 |        448 |                   asyncio.base_subprocess
import time:       547 |        547 |                   asyncio.selector_events
import time:       733 |       1727 |                 asyncio.unix_events
import time:       721 |      25839 |               asyncio
import time:        25 |      25864 |             asyncio.coroutines
import time:      1730 |      35443 |           torch.cuda.memory
import time:       383 |        383 |           torch.cuda.random
import time:       400 |        400 |             torch.cuda.amp.autocast_mode
import time:       223 |        223 |                 importlib._abc
import time:       346 |        568 |               importlib.util
import time:       271 |        839 |             torch.cuda.amp.common
import time:       233 |        233 |             torch.cuda.amp.grad_scaler
import time:       329 |       1800 |           torch.cuda.amp
import time:       301 |        301 |           torch.cuda.jiterator
import time:       314 |        314 |           torch.cuda.nvtx
import time:       203 |        203 |           torch.cuda.profiler
import time:       222 |        222 |           torch.cuda.sparse
import time:       377 |        377 |                 multiprocessing.process
import time:       373 |        373 |                 multiprocessing.reduction
