import time: self [us] | cumulative | imported package
import time:       252 |        252 |           torch.distributions.binomial
import time:       396 |        396 |           torch.distributions.categorical
import time:       232 |        232 |           torch.distributions.cauchy
import time:       233 |        233 |             torch.distributions.gamma
import time:       223 |        456 |           torch.distributions.chi2
import time:       278 |        278 |           torch.distributions.constraint_registry
import time:       249 |        249 |           torch.distributions.continuous_bernoulli
import time:       219 |        219 |           torch.distributions.exponential
import time:       203 |        203 |           torch.distributions.fishersnedecor
import time:       117 |        117 |           torch.distributions.geometric
import time:       239 |        239 |               torch.distributions.independent
import time:       244 |        482 |             torch.distributions.transformed_distribution
import time:       408 |        408 |             torch.distributions.uniform
import time:       196 |       1085 |           torch.distributions.gumbel
import time:       221 |        221 |           torch.distributions.half_cauchy
import time:       121 |        121 |             torch.distributions.normal
import time:       189 |        310 |           torch.distributions.half_normal
import time:       215 |        215 |           torch.distributions.inverse_gamma
import time:       206 |        206 |             torch.distributions.laplace
import time:       246 |        246 |               torch.distributions.multivariate_normal
import time:       132 |        377 |             torch.distributions.lowrank_multivariate_normal
import time:       235 |        235 |             torch.distributions.one_hot_categorical
import time:       242 |        242 |             torch.distributions.pareto
import time:       212 |        212 |             torch.distributions.poisson
import time:       362 |       1631 |           torch.distributions.kl
import time:       211 |        211 |           torch.distributions.kumaraswamy
import time:       194 |        194 |           torch.distributions.lkj_cholesky
import time:       197 |        197 |           torch.distributions.log_normal
import time:       226 |        226 |           torch.distributions.logistic_normal
import time:       222 |        222 |           torch.distributions.mixture_same_family
import time:       223 |        223 |           torch.distributions.multinomial
import time:       262 |        262 |           torch.distributions.negative_binomial
import time:       255 |        255 |           torch.distributions.relaxed_bernoulli
import time:       233 |        233 |           torch.distributions.relaxed_categorical
import time:       190 |        190 |           torch.distributions.studentT
import time:       303 |        303 |                 torch.jit._builtins
import time:       987 |       1290 |               torch.jit._async
import time:       200 |        200 |               torch.jit._await
import time:       173 |        173 |               torch.jit._decomposition_utils
import time:       220 |        220 |                   torch._classes
import time:       196 |        196 |                   torch.jit._fuser
import time:        64 |         64 |                     monkeytype
import time:       249 |        312 |                   torch.jit._monkeytype_config
import time:       218 |        218 |                     torch.jit._check
import time:       265 |        265 |                     torch.jit._state
import time:       275 |        275 |                       torch.jit.annotations
import time:       222 |        222 |                       torch.jit._dataclass_impls
import time:       591 |        591 |                           six
import time:        19 |        609 |                         six.moves
import time:       356 |        356 |                         astunparse.unparser
import time:       180 |        180 |                         astunparse.printer
import time:       239 |       1382 |                       astunparse
import time:       403 |       2281 |                     torch.jit.frontend
import time:       361 |       3124 |                   torch.jit._recursive
import time:       224 |        224 |                   torch.jit._serialization
import time:       956 |       5030 |                 torch.jit._script
import time:       207 |       5236 |               torch.jit._freeze
import time:       246 |        246 |               torch.jit._ir_utils
import time:       605 |        605 |               torch.jit._trace
import time:       281 |       8028 |             torch.jit
import time:       252 |       8279 |           torch.distributions.von_mises
import time:       270 |        270 |           torch.distributions.weibull
import time:       673 |        673 |           torch.distributions.wishart
import time:       375 |      20934 |         torch.distributions
import time:       333 |        333 |         torch.fft
import time:       171 |        171 |             urllib.response
import time:       226 |        397 |           urllib.error
import time:       526 |        526 |               http
import time:       597 |       1123 |             http.client
import time:      1003 |       1003 |             _scproxy
import time:       906 |       3030 |           urllib.request
import time:       257 |        257 |             tqdm._monitor
import time:       218 |        218 |             tqdm._tqdm_pandas
import time:       697 |        697 |                   unicodedata
import time:       356 |       1052 |                 tqdm.utils
import time:       479 |       1530 |               tqdm.std
import time:        82 |         82 |                 tqdm._dist_ver
import time:        93 |        174 |               tqdm.version
import time:       455 |       2158 |             tqdm.cli
import time:       223 |        223 |             tqdm.gui
import time:       242 |       3097 |           tqdm
import time:       340 |       6863 |         torch.hub
import time:       324 |        324 |         torch.linalg
import time:       226 |        226 |           torch.mps.profiler
import time:       219 |        219 |           torch.mps.event
import time:       234 |        678 |         torch.mps
import time:       219 |        219 |           torch.mtia._utils
import time:        94 |         94 |           torch.mtia.memory
import time:       310 |        622 |         torch.mtia
import time:       231 |        231 |             multiprocessing.util
import time:       217 |        217 |             multiprocessing.resource_sharer
import time:       293 |        740 |           torch.multiprocessing.reductions
import time:       720 |        720 |               _multiprocessing
import time:        39 |         39 |               _winapi
import time:       380 |       1138 |             multiprocessing.connection
import time:       234 |        234 |             concurrent.futures.thread
import time:       266 |       1638 |           torch.multiprocessing.spawn
import time:       254 |       2630 |         torch.multiprocessing
import time:       192 |        192 |             torch.nested._internal
import time:       224 |        224 |                       torch.fx._compatibility
import time:       330 |        554 |                     torch.fx.immutable_collections
import time:       366 |        366 |                               torch.return_types
import time:       220 |        586 |                             torch.fx._pytree
import time:       420 |        420 |                               torch.fx.operator_schemas
import time:      3786 |       4206 |                             torch.fx.node
import time:      1561 |       6351 |                           torch.fx.graph
import time:       439 |       6790 |                         torch.fx.graph_module
import time:       675 |       7464 |                       torch.fx._lazy_graph_module
import time:       317 |        317 |                         torch.fx.traceback
import time:       196 |        196 |                         torch.utils._traceback
import time:       584 |       1095 |                       torch.fx.proxy
import time:       665 |       9224 |                     torch.fx._symbolic_trace
import time:       189 |        189 |                       torch.fx.config
import time:       527 |        715 |                     torch.fx.interpreter
import time:       596 |        596 |                     torch.fx.subgraph_rewriter
import time:       184 |      11271 |                   torch.fx
import time:       235 |      11505 |                 torch.fx.experimental
import time:       276 |      11781 |               torch.fx.experimental._constant_symnode
import time:       212 |      11993 |             torch.nested._internal.nested_int
import time:       292 |        292 |             torch.utils.weak
import time:       390 |      12865 |           torch.nested._internal.nested_tensor
import time:       278 |      13143 |         torch.nested
import time:       557 |        557 |             torch.optim.optimizer
import time:       564 |       1120 |           torch.optim.lr_scheduler
import time:       395 |        395 |           torch.optim.swa_utils
import time:       333 |        333 |           torch.optim._adafactor
import time:       263 |        263 |           torch.optim.adadelta
import time:       251 |        251 |           torch.optim.adagrad
import time:       267 |        267 |           torch.optim.adam
import time:       308 |        308 |           torch.optim.adamax
import time:       187 |        187 |           torch.optim.adamw
import time:       264 |        264 |           torch.optim.asgd
import time:       255 |        255 |           torch.optim.lbfgs
import time:       314 |        314 |           torch.optim.nadam
import time:       238 |        238 |           torch.optim.radam
import time:       257 |        257 |           torch.optim.rmsprop
import time:       272 |        272 |           torch.optim.rprop
import time:       199 |        199 |           torch.optim.sgd
import time:       185 |        185 |             torch.optim._functional
import time:       195 |        379 |           torch.optim.sparse_adam
import time:       161 |       5456 |         torch.optim
import time:       180 |        180 |           torch._environment
import time:       327 |        327 |             gzip
import time:       499 |        499 |               torch.profiler._utils
import time:      1474 |       1972 |             torch.profiler._memory_profiler
import time:       528 |       2826 |           torch.profiler.profiler
import time:       260 |        260 |           torch.profiler.itt
import time:       238 |       3504 |         torch.profiler
import time:       401 |        401 |         torch.special
import time:       223 |        223 |           torch.xpu._utils
import time:       284 |        284 |           torch.xpu.streams
import time:       254 |        254 |           torch.xpu.memory
import time:       217 |        217 |           torch.xpu.random
import time:       416 |       1391 |         torch.xpu
import time:       284 |        284 |             torch.signal.windows.windows
import time:       213 |        497 |           torch.signal.windows
import time:       210 |        707 |         torch.signal
import time:       196 |        196 |         torch.ao
import time:       201 |        201 |             torch.ao.nn
import time:       353 |        353 |               torch.ao.nn.intrinsic.modules.fused
import time:       307 |        659 |             torch.ao.nn.intrinsic.modules
import time:       225 |       1085 |           torch.ao.nn.intrinsic
import time:       221 |        221 |             torch.nn.intrinsic.modules.fused
import time:       264 |        485 |           torch.nn.intrinsic.modules
import time:       348 |        348 |                           torch.ao.nn.qat.modules.conv
import time:       237 |        237 |                           torch.ao.nn.qat.modules.embedding_ops
import time:       256 |        256 |                           torch.ao.nn.qat.modules.linear
import time:       241 |       1081 |                         torch.ao.nn.qat.modules
import time:       133 |       1213 |                       torch.ao.nn.qat
import time:       496 |       1708 |                     torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       246 |        246 |                     torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       220 |        220 |                     torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       212 |       2385 |                   torch.ao.nn.intrinsic.qat.modules
import time:       393 |       2777 |                 torch.ao.nn.intrinsic.qat
import time:       204 |       2981 |               torch.nn.intrinsic.qat.modules.conv_fused
import time:       164 |        164 |               torch.nn.intrinsic.qat.modules.linear_fused
import time:       166 |        166 |               torch.nn.intrinsic.qat.modules.linear_relu
import time:       216 |       3525 |             torch.nn.intrinsic.qat.modules
import time:       181 |       3706 |           torch.nn.intrinsic.qat
import time:       257 |        257 |                                       torch.ao.nn.quantizable.modules.activation
import time:       291 |        291 |                                       torch.ao.nn.quantizable.modules.rnn
import time:       200 |        747 |                                     torch.ao.nn.quantizable.modules
import time:       506 |       1253 |                                   torch.ao.nn.quantizable
import time:       313 |        313 |                                   torch.ao.nn.quantized.modules.activation
import time:       197 |        197 |                                   torch.ao.nn.quantized.modules.batchnorm
import time:       224 |        224 |                                     torch.ao.nn.quantized.modules.utils
import time:       449 |        673 |                                   torch.ao.nn.quantized.modules.conv
import time:       197 |        197 |                                   torch.ao.nn.quantized.modules.dropout
import time:       242 |        242 |                                   torch.ao.nn.quantized.modules.embedding_ops
import time:       209 |        209 |                                   torch.ao.nn.quantized.modules.functional_modules
import time:       283 |        283 |                                   torch.ao.nn.quantized.modules.linear
import time:       228 |        228 |                                   torch.ao.nn.quantized.modules.normalization
import time:       215 |        215 |                                   torch.ao.nn.quantized.modules.rnn
import time:       262 |       4067 |                                 torch.ao.nn.quantized.modules
import time:         8 |       4075 |                               torch.ao.nn.quantized.modules.utils
import time:       281 |       4355 |                             torch.ao.nn.quantized.functional
import time:       224 |       4579 |                           torch.ao.nn.quantized
import time:       539 |       5117 |                         torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       203 |        203 |                         torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       239 |        239 |                         torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       230 |        230 |                         torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       239 |       6025 |                       torch.ao.nn.intrinsic.quantized.modules
import time:       190 |       6215 |                     torch.ao.nn.intrinsic.quantized
import time:       324 |        324 |                             torch.ao.nn.quantized.dynamic.modules.conv
import time:       225 |        225 |                             torch.ao.nn.quantized.dynamic.modules.linear
import time:       349 |        349 |                             torch.ao.nn.quantized.dynamic.modules.rnn
import time:       244 |       1140 |                           torch.ao.nn.quantized.dynamic.modules
import time:       560 |       1700 |                         torch.ao.nn.quantized.dynamic
import time:       266 |       1965 |                       torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       218 |       2182 |                     torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       193 |       8589 |                   torch.ao.nn.intrinsic.quantized.dynamic
import time:       207 |       8795 |                 torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       185 |       8980 |               torch.nn.intrinsic.quantized.dynamic.modules
import time:       211 |       9190 |             torch.nn.intrinsic.quantized.dynamic
import time:       221 |        221 |               torch.nn.intrinsic.quantized.modules.bn_relu
import time:       163 |        163 |               torch.nn.intrinsic.quantized.modules.conv_relu
import time:        78 |         78 |               torch.nn.intrinsic.quantized.modules.linear_relu
import time:       244 |        705 |             torch.nn.intrinsic.quantized.modules
import time:       204 |      10098 |           torch.nn.intrinsic.quantized
import time:       193 |      15564 |         torch.nn.intrinsic
import time:       273 |        273 |                         torch.ao.nn.qat.dynamic.modules.linear
import time:       868 |       1141 |                       torch.ao.nn.qat.dynamic.modules
import time:       217 |       1357 |                     torch.ao.nn.qat.dynamic
import time:         7 |       1364 |                   torch.ao.nn.qat.dynamic.modules
import time:         7 |       1371 |                 torch.ao.nn.qat.dynamic.modules.linear
import time:       477 |       1848 |               torch.nn.qat.dynamic.modules.linear
import time:       175 |       2022 |             torch.nn.qat.dynamic.modules
import time:       231 |       2252 |           torch.nn.qat.dynamic
import time:       156 |        156 |             torch.nn.qat.modules.conv
import time:       191 |        191 |             torch.nn.qat.modules.embedding_ops
import time:       188 |        188 |             torch.nn.qat.modules.linear
import time:       249 |        783 |           torch.nn.qat.modules
import time:       206 |       3240 |         torch.nn.qat
import time:       222 |        222 |           torch.nn.quantizable.modules
import time:       198 |        419 |         torch.nn.quantizable
import time:       515 |        515 |           torch.nn.quantized.dynamic
import time:       165 |        165 |           torch.nn.quantized.functional
import time:       195 |        195 |           torch.nn.quantized.modules
import time:       225 |       1098 |         torch.nn.quantized
import time:       443 |        443 |         torch._size_docs
import time:       195 |        195 |         torch._storage_docs
import time:       593 |        593 |         torch._tensor_docs
import time:       239 |        239 |                       torch.ao.quantization.quant_type
import time:       299 |        537 |                     torch.ao.quantization.utils
import time:      1270 |       1807 |                   torch.ao.quantization.observer
import time:       355 |       2161 |                 torch.ao.quantization.fake_quantize
import time:       235 |        235 |                   torch.ao.quantization.fuser_method_mappings
import time:       212 |        447 |                 torch.ao.quantization.fuse_modules
import time:       170 |        170 |                   torch.ao.quantization.pt2e
import time:       191 |        191 |                       torch.ao.ns
import time:       215 |        405 |                     torch.ao.ns.fx
import time:       224 |        224 |                     torch.ao.ns.fx.ns_types
import time:       338 |        965 |                   torch.ao.ns.fx.utils
import time:       209 |        209 |                                   torch._dispatch
import time:       246 |        246 |                                         unittest.util
import time:       268 |        513 |                                       unittest.result
import time:       613 |        613 |                                       unittest.case
import time:       242 |        242 |                                       unittest.suite
import time:       356 |        356 |                                       unittest.loader
import time:       551 |        551 |                                           gettext
import time:       486 |       1036 |                                         argparse
import time:       168 |        168 |                                           unittest.signals
import time:       118 |        286 |                                         unittest.runner
import time:       147 |       1469 |                                       unittest.main
import time:       239 |       3429 |                                     unittest
import time:       633 |       4061 |                                   unittest.mock
import time:       267 |       4537 |                                 torch._dispatch.python
import time:       250 |        250 |                                   torch.utils._backport_slots
import time:      2399 |       2649 |                                 torch._guards
import time:       210 |        210 |                                             torch._logging.structured
import time:       911 |       1120 |                                           torch._logging._internal
import time:       267 |       1386 |                                         torch._logging._registrations
import time:       190 |       1576 |                                       torch._logging
import time:       206 |        206 |                                         torch.utils._mode_utils
import time:      2533 |       2738 |                                       torch._subclasses.meta_utils
import time:       214 |        214 |                                       torch.utils._stats
import time:       728 |        728 |                                         torch.fx.experimental.sym_node
import time:      1023 |       1751 |                                       torch._subclasses._fake_tensor_utils
import time:       198 |        198 |                                         torch._custom_op
import time:      2111 |       2309 |                                       torch._subclasses.fake_impls
import time:      2851 |      11436 |                                     torch._subclasses.fake_tensor
import time:       287 |        287 |                                     torch._subclasses.fake_utils
import time:       240 |      11962 |                                   torch._subclasses
import time:         9 |      11970 |                                 torch._subclasses.meta_utils
import time:       316 |      19470 |                               torch.fx.passes.shape_prop
import time:        51 |         51 |                               pydot
import time:       270 |      19790 |                             torch.fx.passes.graph_drawer
import time:       290 |        290 |                             torch.fx.passes.graph_manipulation
import time:       460 |        460 |                                     torch.fx.passes.utils.matcher_utils
import time:       547 |       1007 |                                   torch.fx.passes.utils.common
import time:       189 |       1195 |                                 torch.fx.passes.utils
import time:       473 |        473 |                                 torch.fx.passes.tools_common
import time:       485 |       2152 |                               torch.fx.passes.split_utils
import time:       470 |       2621 |                             torch.fx.passes.net_min_base
import time:       374 |        374 |                             torch.fx.passes.operator_support
import time:       184 |        184 |                             torch.fx.passes.param_fetch
import time:       644 |        644 |                             torch.fx.passes.reinplace
import time:       180 |        180 |                               torch.fx._utils
import time:       286 |        286 |                                 torch.utils._thunk
import time:       555 |        555 |                                 torch.fx.experimental._backward_state
import time:       843 |       1683 |                               torch.fx.experimental.proxy_tensor
import time:       342 |       2203 |                             torch.fx.passes.runtime_assert
import time:       398 |        398 |                             torch.fx.passes.split_module
import time:       634 |        634 |                             torch.fx.passes.splitter_base
import time:       273 |      27406 |                           torch.fx.passes
import time:       261 |        261 |                             torch.fx.passes.infra.pass_base
import time:       335 |        595 |                           torch.fx.passes.infra.pass_manager
import time:       243 |      28244 |                         torch.fx.passes.infra
import time:         8 |      28251 |                       torch.fx.passes.infra.pass_base
import time:      1199 |       1199 |                       torch.export.custom_ops
import time:       216 |        216 |                             torch.export._tree_utils
import time:      1453 |       1453 |                             torch.export.graph_signature
import time:       200 |        200 |                                   torch._custom_op.autograd
import time:       461 |        660 |                                 torch._custom_op.impl
import time:       264 |        924 |                               torch._custom_ops
import time:       435 |        435 |                                       torch._higher_order_ops.utils
import time:       665 |        665 |                                       torch._subclasses.functional_tensor
import time:       244 |       1343 |                                     torch._higher_order_ops.base_hop
import time:       511 |       1854 |                                   torch._higher_order_ops._invoke_quant
import time:       274 |        274 |                                   torch._higher_order_ops.aoti_call_delegate
import time:       291 |        291 |                                   torch._higher_order_ops.associative_scan
import time:       787 |        787 |                                   torch._higher_order_ops.auto_functionalize
import time:       363 |        363 |                                   torch._higher_order_ops.cond
import time:       162 |        162 |                                         torch._functorch._aot_autograd
import time:       333 |        495 |                                       torch._functorch._aot_autograd.utils
import time:       276 |        770 |                                     torch._higher_order_ops.torchbind
import time:       338 |       1108 |                                   torch._higher_order_ops.effects
import time:       141 |        141 |                                   torch._higher_order_ops.executorch_call_delegate
import time:       394 |        394 |                                   torch._higher_order_ops.flat_apply
import time:       467 |        467 |                                   torch._higher_order_ops.flex_attention
import time:       213 |        213 |                                   torch._higher_order_ops.foreach_map
import time:       218 |        218 |                                   torch._higher_order_ops.hints_wrap
import time:       286 |        286 |                                   torch._higher_order_ops.invoke_subgraph
import time:       502 |        502 |                                   torch._higher_order_ops.out_dtype
import time:       246 |        246 |                                   torch._higher_order_ops.run_const_graph
import time:       326 |        326 |                                   torch._higher_order_ops.scan
import time:       234 |        234 |                                   torch._higher_order_ops.strict_mode
import time:       266 |        266 |                                   torch._higher_order_ops.while_loop
import time:       263 |        263 |                                   torch._higher_order_ops.wrap
import time:       164 |       8388 |                                 torch._higher_order_ops
import time:         8 |       8396 |                               torch._higher_order_ops.strict_mode
import time:       304 |       9623 |                             torch._export.wrappers
import time:       808 |        808 |                             torch._export.utils
import time:       319 |      12417 |                           torch._export
import time:         9 |      12426 |                         torch._export.utils
import time:       293 |      12718 |                       torch.export.decomp_utils
import time:       341 |        341 |                           torch._export.verifier
import time:       979 |       1319 |                         torch.export.exported_program
import time:      1113 |       2431 |                       torch.export.dynamic_shapes
import time:       421 |        421 |                         torch.export._remove_effect_tokens_pass
import time:       750 |       1170 |                       torch.export.unflatten
import time:       333 |      46100 |                     torch.export
import time:       609 |        609 |                     torch.fx.passes.utils.source_matcher_utils
import time:       277 |      46986 |                   torch.ao.quantization.pt2e.graph_utils
import time:       766 |      48886 |                 torch.ao.quantization.pt2e._numeric_debugger
import time:       241 |        241 |                 torch.ao.quantization.pt2e.export_utils
import time:       373 |        373 |                 torch.ao.quantization.qconfig
import time:       328 |        328 |                 torch.ao.quantization.qconfig_mapping
import time:       235 |        235 |                         torch.ao.nn.quantized.reference.modules.utils
import time:       339 |        574 |                       torch.ao.nn.quantized.reference.modules.conv
import time:       226 |        226 |                       torch.ao.nn.quantized.reference.modules.linear
import time:       384 |        384 |                       torch.ao.nn.quantized.reference.modules.rnn
import time:       318 |        318 |                       torch.ao.nn.quantized.reference.modules.sparse
import time:       253 |       1753 |                     torch.ao.nn.quantized.reference.modules
import time:       210 |       1963 |                   torch.ao.nn.quantized.reference
import time:       211 |        211 |                           torch.ao.nn.sparse.quantized.linear
import time:       221 |        221 |                           torch.ao.nn.sparse.quantized.utils
import time:       370 |        802 |                         torch.ao.nn.sparse.quantized.dynamic.linear
import time:       235 |       1036 |                       torch.ao.nn.sparse.quantized.dynamic
import time:       229 |       1264 |                     torch.ao.nn.sparse.quantized
import time:       207 |       1471 |                   torch.ao.nn.sparse
import time:       215 |        215 |                   torch.ao.quantization.stubs
import time:       435 |       4082 |                 torch.ao.quantization.quantization_mappings
import time:       267 |        267 |                 torch.ao.quantization.quantize
import time:       226 |        226 |                 torch.ao.quantization.quantize_jit
import time:       383 |      57389 |               torch.ao.quantization
import time:        14 |      57403 |             torch.ao.quantization.fake_quantize
import time:       128 |      57531 |           torch.quantization.fake_quantize
import time:        99 |         99 |           torch.quantization.fuse_modules
import time:       190 |        190 |           torch.quantization.fuser_method_mappings
import time:        94 |         94 |           torch.quantization.observer
import time:        97 |         97 |           torch.quantization.qconfig
import time:       192 |        192 |           torch.quantization.quant_type
import time:       262 |        262 |           torch.quantization.quantization_mappings
import time:       166 |        166 |           torch.quantization.quantize
import time:        97 |         97 |           torch.quantization.quantize_jit
import time:       129 |        129 |           torch.quantization.stubs
import time:       143 |      58994 |         torch.quantization
import time:       260 |        260 |         torch.quasirandom
import time:       179 |        179 |         torch.multiprocessing._atfork
import time:       331 |        331 |         torch._lobpcg
import time:       224 |        224 |             torch.masked._docs
import time:       305 |        305 |                   torch.masked.maskedtensor.core
import time:      1747 |       2052 |                 torch.masked.maskedtensor.binary
import time:       466 |        466 |                 torch.masked.maskedtensor.passthrough
import time:       187 |        187 |                   torch.masked.maskedtensor.creation
import time:       627 |        813 |                 torch.masked.maskedtensor.reductions
import time:      1798 |       1798 |                 torch.masked.maskedtensor.unary
import time:       222 |       5349 |               torch.masked.maskedtensor
import time:         7 |       5356 |             torch.masked.maskedtensor.core
import time:       468 |       6047 |           torch.masked._ops
import time:       197 |       6243 |         torch.masked
import time:       186 |        186 |         torch.utils.dlpack
import time:       236 |        236 |           torch._functorch.batch_norm_replacement
import time:       225 |        225 |             torch.fx.experimental.const_fold
import time:       777 |       1002 |           torch._functorch.eager_transforms
import time:       266 |        266 |           torch._functorch.functional_call
import time:       221 |       1724 |         torch.func
import time:       329 |        329 |                   torch.utils._content_store
import time:       355 |        684 |                 torch._prims.debug_prims
import time:       382 |        382 |                 torch._prims.rng_prims
import time:       430 |        430 |                 torch._prims_common.wrappers
import time:     92399 |      93894 |               torch._prims
import time:     26013 |     119906 |             torch._decomp.decompositions
import time:      1138 |       1138 |               torch._refs._conversions
import time:      1953 |       1953 |               torch._refs.fft
import time:       691 |        691 |               torch._refs.linalg
import time:       271 |        271 |                 torch._refs.nn
import time:      2379 |       2650 |               torch._refs.nn.functional
import time:      1539 |       1539 |               torch._refs.special
import time:     18930 |      26899 |             torch._refs
import time:       389 |     147193 |           torch._decomp
import time:      1002 |       1002 |             torch.utils._config_module
import time:       870 |       1871 |           torch.fx.experimental._config
import time:     36606 |     185670 |         torch._meta_registrations
import time:       788 |        788 |           torch.compiler.config
import time:       415 |       1203 |         torch.compiler
import time:     19305 |    3661632 |       torch
import time:       301 |        301 |         PIL._version
import time:       318 |        619 |       PIL
import time:      3256 |       3256 |         PIL.ExifTags
import time:       206 |        206 |           PIL._deprecate
import time:       339 |        544 |         PIL.ImageMode
import time:       471 |        471 |         PIL.TiffTags
import time:       226 |        226 |         PIL._binary
import time:       279 |        279 |           PIL._typing
import time:       228 |        506 |         PIL._util
import time:        56 |         56 |         defusedxml
import time:      2469 |       2469 |         PIL._imaging
import time:      1195 |       8718 |       PIL.Image
import time:       330 |    3671297 |     segmentation_models_pytorch.datasets.oxford_pet
import time:       245 |    3671542 |   segmentation_models_pytorch.datasets
import time:       155 |        155 |       timm.version
import time:       328 |        328 |         timm.layers.activations
import time:       269 |        269 |           timm.layers.format
import time:       569 |        837 |         timm.layers.adaptive_avgmax_pool
import time:       119 |        119 |           timm.layers.config
import time:       231 |        231 |                   timm.layers.helpers
import time:       193 |        423 |                 timm.layers.padding
import time:       250 |        672 |               timm.layers.conv2d_same
import time:       197 |        868 |             timm.layers.mixed_conv2d
import time:       178 |        178 |             timm.layers.cond_conv2d
import time:       165 |       1210 |           timm.layers.create_conv2d
import time:       107 |        107 |           timm.layers.pool2d_same
import time:       269 |       1704 |         timm.layers.attention2d
import time:       155 |        155 |             timm.layers.grn
import time:       221 |        375 |           timm.layers.mlp
import time:       191 |        191 |           timm.layers.weight_init
import time:       218 |        783 |         timm.layers.attention_pool
import time:       255 |        255 |           timm.layers.pos_embed
import time:       233 |        233 |             timm.layers.grid
import time:       217 |        217 |             timm.layers.trace_utils
import time:       250 |        699 |           timm.layers.pos_embed_sincos
import time:       210 |       1164 |         timm.layers.attention_pool2d
import time:       299 |        299 |           timm.layers.typing
import time:       129 |        427 |         timm.layers.blur_pool
import time:       293 |        293 |             timm.layers.activations_me
import time:       287 |        579 |           timm.layers.create_act
import time:        47 |         47 |                     apex
import time:         8 |         54 |                   apex.normalization
import time:        61 |        115 |                 apex.normalization.fused_layer_norm
import time:        36 |         36 |                     apex
import time:         6 |         41 |                   apex.normalization
import time:         6 |         47 |                 apex.normalization.fused_layer_norm
import time:       206 |        367 |               timm.layers.fast_norm
import time:       245 |        611 |             timm.layers.norm
import time:       283 |        283 |                   modulefinder
import time:       214 |        214 |                     torchvision._internally_replaced_utils
import time:      2430 |       2644 |                   torchvision.extension
import time:      3436 |       3436 |                   torchvision._meta_registrations
import time:       253 |        253 |                           torchvision.io._load_gpu_decoder
import time:      1540 |       1540 |                                 _decimal
import time:      2602 |       4142 |                               decimal
import time:       531 |       4672 |                             fractions
import time:       618 |        618 |                             torchvision.io._video_deprecation_warning
import time:       415 |       5704 |                           torchvision.io._video_opt
import time:       267 |        267 |                               PIL.ImageColor
import time:       382 |        382 |                               PIL.ImageDraw
import time:       261 |        261 |                                 PIL.features
import time:      2442 |       2442 |                                 PIL._imagingft
import time:       459 |       3160 |                               PIL.ImageFont
import time:       464 |       4272 |                             torchvision.utils
import time:      2573 |       6844 |                           torchvision.io.image
import time:       105 |        105 |                             av
import time:       411 |        515 |                           torchvision.io.video
import time:        40 |         40 |                             av
import time:       274 |        314 |                           torchvision.io.video_reader
import time:       243 |      13871 |                         torchvision.io
import time:        11 |      13881 |                       torchvision.io.image
import time:       224 |        224 |                         torchvision.datasets.vision
import time:       357 |        580 |                       torchvision.datasets.folder
import time:       203 |        203 |                         torch.utils.model_zoo
import time:       381 |        584 |                       torchvision.datasets.utils
import time:      1613 |      16656 |                     torchvision.datasets._optical_flow
import time:       525 |        525 |                     torchvision.datasets._stereo_matching
import time:       248 |        248 |                     torchvision.datasets.caltech
import time:       324 |        324 |                     torchvision.datasets.celeba
import time:       308 |        308 |                     torchvision.datasets.cifar
import time:       287 |        287 |                     torchvision.datasets.cityscapes
import time:       197 |        197 |                     torchvision.datasets.clevr
import time:       191 |        191 |                     torchvision.datasets.coco
import time:       204 |        204 |                     torchvision.datasets.country211
import time:       207 |        207 |                     torchvision.datasets.dtd
import time:       204 |        204 |                     torchvision.datasets.eurosat
import time:        41 |         41 |                           accimage
import time:        38 |         38 |                             accimage
import time:       342 |        342 |                                 PIL.ImageFilter
import time:       213 |        213 |                                 PIL.ImageStat
import time:       226 |        779 |                               PIL.ImageEnhance
import time:       211 |        211 |                                   PIL.GimpGradientFile
import time:       182 |        182 |                                   PIL.GimpPaletteFile
import time:       139 |        139 |                                   PIL.PaletteFile
import time:       250 |        780 |                                 PIL.ImagePalette
import time:       310 |       1089 |                               PIL.ImageOps
import time:        39 |         39 |                               accimage
import time:       353 |       2258 |                             torchvision.transforms._functional_pil
import time:       422 |        422 |                             torchvision.transforms._functional_tensor
import time:      1575 |       4291 |                           torchvision.transforms.functional
import time:       656 |       4987 |                         torchvision.transforms.transforms
import time:       357 |        357 |                         torchvision.transforms.autoaugment
import time:       202 |       5545 |                       torchvision.transforms
import time:       232 |       5777 |                     torchvision.datasets.fakedata
import time:       395 |        395 |                     torchvision.datasets.fer2013
import time:       295 |        295 |                     torchvision.datasets.fgvc_aircraft
import time:       712 |        712 |                           html.entities
import time:       363 |       1075 |                         html
import time:       391 |        391 |                         _markupbase
import time:       933 |       2398 |                       html.parser
import time:       395 |       2793 |                     torchvision.datasets.flickr
import time:       268 |        268 |                     torchvision.datasets.flowers102
import time:       225 |        225 |                     torchvision.datasets.food101
